State,2020,State,2010
Alabama,53.1,Alabama,48.1
Alaska,62.8,Alaska,55.7
Arizona,61.5,Arizona,57.4
Arkansas,49.8,Arkansas,41.6
California,67.7,California,67.7
Colorado,52.3,Colorado,46.5
Connecticut,55.7,Connecticut,46.4
Delaware,59.6,Delaware,52.2
Florida,64.1,Florida,59.1
Georgia,64.1,Georgia,58.8
Hawaii,75.1,Hawaii,75.1
Idaho,35.9,Idaho,28.2
Illinois,60.3,Illinois,54.7
Indiana,41.3,Indiana,32.3
Iowa,30.8,Iowa,21
Kansas,45.4,Kansas,24.8
Kentucky,32.8,Kentucky,24.8
Louisiana,58.6,Louisiana,53.3
Maine,18.5,Maine,10.8
Maryland,67.3,Maryland,60.7
Massachusetts,51.6,Massachusetts,40.4
Michigan,45.2,Michigan,39.1
Minnesota,40.5,Minnesota,30.3
Mississippi,55.9,Mississippi,52.6
Missouri,40.8,Missouri,32.9
Montana,30.1,Montana,22.4
Nebraska,40.8,Nebraska,31.5
Nevada,68.8,Nevada,62.5
New Hampshire,23.6,New Hampshire,14.7
New Jersey,65.8,New Jersey,59.1
New Mexico,63,New Mexico,61.4
New York,65.8,New York,60.2
North Carolina,57.9,North Carolina,52.1
North Dakota,32.6,North Dakota,20.6
Ohio,40.4,Ohio,32.6
Oklahoma,59.5,Oklahoma,50.6
Oregon,46.1,Oregon,36.8
Pennsylvania,44,Pennsylvania,35.3
Rhode Island,49.4,Rhode Island,39.8
South Carolina,54.6,South Carolina,51
South Dakota,35.6,South Dakota,27.4
Tennessee,46.6,Tennessee,39.8
Texas,67,Texas,63.8
Utah,40.7,Utah,33.6
Vermont,20.2,Vermont,11
Virginia,60.5,Virginia,54.7
Washington,55.9,Washington,45.4
West Virginia,20.2,West Virginia,13.1
Wisconsin,37,Wisconsin,29.8
Wyoming,32.4,Wyoming,25.4
