State,2019,2020,2021,2022,2023,2023 Population source and notes,Source URL,
Alabama,"28,304","25,328","25,032","26,421","27,001",ADOC Monthly Statistical Report for Sept. 2023,https://doc.alabama.gov/docs/MonthlyRpts/September 2023.pdf,
Alaska,"4,475","4,578","4,639","4,778","4,480",Summary Statistics for Nov. 2023 showing population by facility,https://doc.alaska.gov/administrative-services/research-records/population-statistics,
Arizona,"42,441","37,794","33,914","33,865","34,502","Dec. 14, 2023 Count Sheet (Grand total)",https://corrections.az.gov/sites/default/files/documents/reports/Daily Count/2023/12142023 daily count.pdf,
Arkansas,"17,759","16,094","17,022","17,625","18,375","DOC Board Report for Sept. 2023 (jurisdictional population data as of Aug. 31, 2023)",https://doc.arkansas.gov/wp-content/uploads/Division-of-Correction-Directors-Board-Report_-September-2023.pdf,
Federal BOP,"175,116","152,156","157,314","159,309","157,740","BOP Population Statistics (jurisdictional population data as of Dec. 7, 2023)",https://www.bop.gov/about/statistics/population_statistics.jsp,
California,"122,687","100,396","101,441","97,608","96,225","Monthly TPOP1 Report for Nov. 2023 (Total In-Custody/CRPP Supervision plus Temporary Release to Court and Hospital, consistent with BJS jurisdictional population definition; data as of Nov. 30, 2023)",https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2023/12/Tpop1d2311.pdf,
Colorado,"19,785","16,259","15,865","17,168","17,246","“Inmate Total” from “General Statistics” dashboard (accessed Dec. 12, 2023)",https://cdoc.colorado.gov/about/data-and-reports/statistics,
Connecticut,"12,823","9,559","9,889","10,506","10,445","CT DOC Monthly Statistics Dec. 1, 2023 (data as of Nov. 2023)",https://portal.ct.gov/DOC/Report/Monthly-Statistics,
Delaware,"5,692","4,710","4,810","4,954",4613,"DE DOC Daily Population Summary including “inmates” and “offenders on pre-trial detention” (consistent with BJS jurisdictional population definition for “unified” prison and jail systems) for Dec. 14, 2023 (accessed Dec. 15, 2023).",https://doc.delaware.gov/,
Florida,"96,009","81,027","80,417","84,678","85,928","FDC Monthly Statistical Report Nov. 2023 (data from Nov. 30, 2023)",https://fdc.myflorida.com/pub/statistics/MS1123.pdf,
Georgia,"54,816","47,141","47,010","48,439","50,616","GA DOC Monthly Statistical Report, “Profile of All Inmates During 2023 11” (data as of Dec. 1, 2023)",https://gdc.georgia.gov/document/monthly-statistical-reports/profile-all-inmates-2023-11/download,
Hawaii,"5,279","4,171","4,102","4,149","3,967","HI DPS Corrections Division Weekly Population Report from Dec. 11, 2023 showing “assigned count” total (including people held out-of-state, consistent with BJS jurisdictional population defnition)",https://dps.hawaii.gov/wp-content/uploads/2023/12/Pop-Reports-Weekly-2023-12-11.pdf,
